threshold,precision,recall,f1
0,0.0,0.0,0.0
1,1.0,0.02,0.0392156862745098
2,1.0,0.02,0.0392156862745098
3,1.0,0.02,0.0392156862745098
4,1.0,0.02,0.0392156862745098
5,1.0,0.02,0.0392156862745098
6,1.0,0.02,0.0392156862745098
7,1.0,0.02,0.0392156862745098
8,1.0,0.02,0.0392156862745098
9,1.0,0.02,0.0392156862745098
10,1.0,0.02,0.0392156862745098
11,1.0,0.02,0.0392156862745098
12,1.0,0.02,0.0392156862745098
13,1.0,0.02,0.0392156862745098
14,1.0,0.02,0.0392156862745098
15,1.0,0.02,0.0392156862745098
16,1.0,0.02,0.0392156862745098
17,1.0,0.02,0.0392156862745098
18,1.0,0.02,0.0392156862745098
19,1.0,0.05,0.09523809523809523
20,1.0,0.05,0.09523809523809523
21,1.0,0.05,0.09523809523809523
22,1.0,0.05,0.09523809523809523
23,1.0,0.06,0.11320754716981131
24,1.0,0.06,0.11320754716981131
25,1.0,0.09,0.16513761467889906
26,1.0,0.09,0.16513761467889906
27,1.0,0.1,0.18181818181818182
28,1.0,0.1,0.18181818181818182
29,1.0,0.11,0.19819819819819817
30,1.0,0.11,0.19819819819819817
31,1.0,0.17,0.2905982905982906
32,1.0,0.17,0.2905982905982906
33,1.0,0.2,0.33333333333333337
34,1.0,0.2,0.33333333333333337
35,1.0,0.23,0.3739837398373984
36,1.0,0.23,0.3739837398373984
37,1.0,0.25,0.4
38,1.0,0.25,0.4
39,1.0,0.28,0.43750000000000006
40,1.0,0.28,0.43750000000000006
41,1.0,0.3,0.4615384615384615
42,1.0,0.3,0.4615384615384615
43,1.0,0.35,0.5185185185185185
44,1.0,0.35,0.5185185185185185
45,1.0,0.36,0.5294117647058824
46,1.0,0.36,0.5294117647058824
47,1.0,0.39,0.5611510791366906
48,1.0,0.39,0.5611510791366906
49,1.0,0.42,0.5915492957746479
50,1.0,0.42,0.5915492957746479
51,1.0,0.46,0.6301369863013699
52,1.0,0.46,0.6301369863013699
53,1.0,0.49,0.6577181208053691
54,1.0,0.49,0.6577181208053691
55,1.0,0.51,0.6754966887417219
56,1.0,0.51,0.6754966887417219
57,1.0,0.56,0.717948717948718
58,1.0,0.56,0.717948717948718
59,1.0,0.57,0.7261146496815287
60,1.0,0.57,0.7261146496815287
61,1.0,0.64,0.7804878048780487
62,1.0,0.64,0.7804878048780487
63,1.0,0.66,0.7951807228915663
64,1.0,0.66,0.7951807228915663
65,1.0,0.7,0.8235294117647058
66,1.0,0.7,0.8235294117647058
67,1.0,0.73,0.8439306358381503
68,1.0,0.73,0.8439306358381503
69,1.0,0.76,0.8636363636363636
70,1.0,0.76,0.8636363636363636
71,1.0,0.76,0.8636363636363636
72,1.0,0.76,0.8636363636363636
73,1.0,0.77,0.8700564971751412
74,1.0,0.77,0.8700564971751412
75,1.0,0.78,0.8764044943820225
76,1.0,0.78,0.8764044943820225
77,1.0,0.79,0.8826815642458101
78,1.0,0.79,0.8826815642458101
79,1.0,0.83,0.9071038251366119
80,1.0,0.83,0.9071038251366119
81,1.0,0.89,0.9417989417989417
82,1.0,0.89,0.9417989417989417
83,1.0,0.9,0.9473684210526316
84,1.0,0.9,0.9473684210526316
85,1.0,0.92,0.9583333333333334
86,1.0,0.92,0.9583333333333334
87,1.0,0.93,0.9637305699481865
88,1.0,0.93,0.9637305699481865
89,1.0,0.93,0.9637305699481865
90,1.0,0.93,0.9637305699481865
91,1.0,0.93,0.9637305699481865
92,1.0,0.93,0.9637305699481865
93,1.0,0.93,0.9637305699481865
94,1.0,0.93,0.9637305699481865
95,1.0,0.94,0.9690721649484536
96,1.0,0.94,0.9690721649484536
97,1.0,0.94,0.9690721649484536
98,1.0,0.94,0.9690721649484536
99,1.0,0.95,0.9743589743589743
100,1.0,0.95,0.9743589743589743
101,1.0,0.95,0.9743589743589743
102,1.0,0.95,0.9743589743589743
103,1.0,0.95,0.9743589743589743
104,1.0,0.95,0.9743589743589743
105,1.0,0.95,0.9743589743589743
106,1.0,0.95,0.9743589743589743
107,0.9896907216494846,0.96,0.9746192893401014
108,0.9896907216494846,0.96,0.9746192893401014
109,0.9795918367346939,0.96,0.9696969696969697
110,0.9795918367346939,0.96,0.9696969696969697
111,0.9696969696969697,0.96,0.964824120603015
112,0.9696969696969697,0.96,0.964824120603015
113,0.9326923076923077,0.97,0.9509803921568627
114,0.9326923076923077,0.97,0.9509803921568627
115,0.9150943396226415,0.97,0.9417475728155339
116,0.9150943396226415,0.97,0.9417475728155339
117,0.8660714285714286,0.97,0.9150943396226415
118,0.8660714285714286,0.97,0.9150943396226415
119,0.8220338983050848,0.97,0.8899082568807339
120,0.8220338983050848,0.97,0.8899082568807339
121,0.782258064516129,0.97,0.8660714285714286
122,0.782258064516129,0.97,0.8660714285714286
123,0.7424242424242424,0.98,0.8448275862068965
124,0.7424242424242424,0.98,0.8448275862068965
125,0.678082191780822,0.99,0.8048780487804877
126,0.678082191780822,0.99,0.8048780487804877
127,0.6329113924050633,1.0,0.7751937984496124
128,0.6329113924050633,1.0,0.7751937984496124
129,0.6060606060606061,1.0,0.7547169811320755
130,0.6060606060606061,1.0,0.7547169811320755
131,0.5617977528089888,1.0,0.7194244604316548
132,0.5617977528089888,1.0,0.7194244604316548
133,0.5376344086021505,1.0,0.6993006993006993
134,0.5376344086021505,1.0,0.6993006993006993
135,0.5291005291005291,1.0,0.6920415224913494
136,0.5291005291005291,1.0,0.6920415224913494
137,0.5208333333333334,1.0,0.684931506849315
138,0.5208333333333334,1.0,0.684931506849315
139,0.5102040816326531,1.0,0.6756756756756758
140,0.5102040816326531,1.0,0.6756756756756758
141,0.5102040816326531,1.0,0.6756756756756758
142,0.5102040816326531,1.0,0.6756756756756758
143,0.5102040816326531,1.0,0.6756756756756758
144,0.5102040816326531,1.0,0.6756756756756758
145,0.5102040816326531,1.0,0.6756756756756758
146,0.5102040816326531,1.0,0.6756756756756758
147,0.5102040816326531,1.0,0.6756756756756758
148,0.5102040816326531,1.0,0.6756756756756758
149,0.5050505050505051,1.0,0.6711409395973155
150,0.5050505050505051,1.0,0.6711409395973155
151,0.5050505050505051,1.0,0.6711409395973155
152,0.5050505050505051,1.0,0.6711409395973155
153,0.5025125628140703,1.0,0.6688963210702341
154,0.5025125628140703,1.0,0.6688963210702341
155,0.5025125628140703,1.0,0.6688963210702341
156,0.5025125628140703,1.0,0.6688963210702341
157,0.5,1.0,0.6666666666666666
158,0.5,1.0,0.6666666666666666
159,0.5,1.0,0.6666666666666666
160,0.5,1.0,0.6666666666666666
161,0.5,1.0,0.6666666666666666
162,0.5,1.0,0.6666666666666666
163,0.5,1.0,0.6666666666666666
164,0.5,1.0,0.6666666666666666
165,0.5,1.0,0.6666666666666666
166,0.5,1.0,0.6666666666666666
167,0.5,1.0,0.6666666666666666
168,0.5,1.0,0.6666666666666666
169,0.5,1.0,0.6666666666666666
170,0.5,1.0,0.6666666666666666
171,0.5,1.0,0.6666666666666666
172,0.5,1.0,0.6666666666666666
173,0.5,1.0,0.6666666666666666
174,0.5,1.0,0.6666666666666666
175,0.5,1.0,0.6666666666666666
176,0.5,1.0,0.6666666666666666
177,0.5,1.0,0.6666666666666666
178,0.5,1.0,0.6666666666666666
179,0.5,1.0,0.6666666666666666
180,0.5,1.0,0.6666666666666666
181,0.5,1.0,0.6666666666666666
182,0.5,1.0,0.6666666666666666
183,0.5,1.0,0.6666666666666666
184,0.5,1.0,0.6666666666666666
185,0.5,1.0,0.6666666666666666
186,0.5,1.0,0.6666666666666666
187,0.5,1.0,0.6666666666666666
188,0.5,1.0,0.6666666666666666
189,0.5,1.0,0.6666666666666666
190,0.5,1.0,0.6666666666666666
191,0.5,1.0,0.6666666666666666
192,0.5,1.0,0.6666666666666666
193,0.5,1.0,0.6666666666666666
194,0.5,1.0,0.6666666666666666
195,0.5,1.0,0.6666666666666666
196,0.5,1.0,0.6666666666666666
197,0.5,1.0,0.6666666666666666
198,0.5,1.0,0.6666666666666666
199,0.5,1.0,0.6666666666666666
200,0.5,1.0,0.6666666666666666
201,0.5,1.0,0.6666666666666666
202,0.5,1.0,0.6666666666666666
203,0.5,1.0,0.6666666666666666
204,0.5,1.0,0.6666666666666666
205,0.5,1.0,0.6666666666666666
206,0.5,1.0,0.6666666666666666
207,0.5,1.0,0.6666666666666666
208,0.5,1.0,0.6666666666666666
209,0.5,1.0,0.6666666666666666
210,0.5,1.0,0.6666666666666666
211,0.5,1.0,0.6666666666666666
212,0.5,1.0,0.6666666666666666
213,0.5,1.0,0.6666666666666666
214,0.5,1.0,0.6666666666666666
215,0.5,1.0,0.6666666666666666
216,0.5,1.0,0.6666666666666666
217,0.5,1.0,0.6666666666666666
218,0.5,1.0,0.6666666666666666
219,0.5,1.0,0.6666666666666666
220,0.5,1.0,0.6666666666666666
221,0.5,1.0,0.6666666666666666
222,0.5,1.0,0.6666666666666666
223,0.5,1.0,0.6666666666666666
224,0.5,1.0,0.6666666666666666
225,0.5,1.0,0.6666666666666666
226,0.5,1.0,0.6666666666666666
227,0.5,1.0,0.6666666666666666
228,0.5,1.0,0.6666666666666666
229,0.5,1.0,0.6666666666666666
230,0.5,1.0,0.6666666666666666
231,0.5,1.0,0.6666666666666666
232,0.5,1.0,0.6666666666666666
233,0.5,1.0,0.6666666666666666
234,0.5,1.0,0.6666666666666666
235,0.5,1.0,0.6666666666666666
236,0.5,1.0,0.6666666666666666
237,0.5,1.0,0.6666666666666666
238,0.5,1.0,0.6666666666666666
239,0.5,1.0,0.6666666666666666
240,0.5,1.0,0.6666666666666666
241,0.5,1.0,0.6666666666666666
242,0.5,1.0,0.6666666666666666
243,0.5,1.0,0.6666666666666666
244,0.5,1.0,0.6666666666666666
245,0.5,1.0,0.6666666666666666
246,0.5,1.0,0.6666666666666666
247,0.5,1.0,0.6666666666666666
248,0.5,1.0,0.6666666666666666
249,0.5,1.0,0.6666666666666666
250,0.5,1.0,0.6666666666666666
251,0.5,1.0,0.6666666666666666
252,0.5,1.0,0.6666666666666666
253,0.5,1.0,0.6666666666666666
254,0.5,1.0,0.6666666666666666
255,0.5,1.0,0.6666666666666666
256,0.5,1.0,0.6666666666666666
